LTD 02 Lager,Full Sail Brewing #1,United States,German Lager,Traditional German-Style Bock,Malty and roasty,Steak
Saison Vielle Provision,Brasserie Dupont,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Organic Barley Wine Ale 2005,Bison Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Old Boardhead 2006,Full Sail Brewing #1,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Blue Dot Double India Pale Ale,Hair of the Dog Brewing,United States,North American Ale,Imperial or Double India Pale Ale,Hoppy and bitter,Chicken
Nugget,Full Sail Brewing #1,United States,North American Ale,American-Style Amber/Red Ale,Hoppy and bitter,Chicken
American Pale Ale,Spanish Peaks Brewing,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
471 Extra ESB,Breckenridge Brewery,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Odell Red Ale,Odell Brewing,United States,North American Ale,American-Style Amber/Red Ale,Hoppy and bitter,Chicken
Long Leg English Fuggles Hop Ale,Camerons Brewery Company,United Kingdom,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Summer Lightning,Hop Back Brewery,United Kingdom,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Haymaker Extra Pale Ale,BridgePort Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Pale Ale,Dick's Brewing,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Silk Lady,Dick's Brewing,United States,North American Ale,American-Style Pale Ale,Hoppy and bitter,Chicken
Danger Ale,Dick's Brewing,United States,North American Ale,American-Style Brown Ale,Malty and sweet,Vegetarian
Irish Style Ale,Dick's Brewing,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Yeti Special Export,Yuksom Breweries,India,North American Lager,American-Style Lager,Clean and crisp,Pasta
Steelie Brown Ale,Skagit River Brewing,United States,North American Ale,American-Style Brown Ale,Malty and sweet,Vegetarian
Bond Street 19th Anniversary,Deschutes Brewery,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Trumpeter,Skagit River Brewing,United States,North American Ale,American-Style Stout,Dark and roasty,Vegetables
Nitro Porter,Thunderhead Brewery #2,United States,Irish Ale,Porter,Dark and roasty,Burgers
Fourteen,Avery Brewing Company,United States,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Old Stock Ale 2007,North Coast Brewing Company,United States,British Ale,Old Ale,Hoppy and bitter,Chicken
Cold Hop,Boulder Beer Company,United States,British Ale,English-Style India Pale Ale,Varies,Cheese
Hitachino Nest Espresso Stout,Kiuchi Shuzou Goushi Kaisya,Japan,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Witte,De Struise Brouwers,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
Slaapmutske Triple Nightcap,De Proef Brouwerij,Belgium,British Ale,Classic English-Style Pale Ale,Varies,Cheese
